date,ordinal,equity,cash,gross_exposure
2022-11-17,738476.0,99808.78769573574,99808.78769573574,0
2022-11-18,738477.0,99808.78769573574,99808.78769573574,0
2022-11-19,738478.0,99808.78769573574,99808.78769573574,0
2022-11-20,738479.0,99808.78769573574,99808.78769573574,0
2022-11-21,738480.0,99808.78769573574,99808.78769573574,0
2022-11-22,738481.0,99808.78769573574,99808.78769573574,0
2022-11-23,738482.0,99808.78769573574,99808.78769573574,0
2022-11-24,738483.0,99808.78769573574,99808.78769573574,0
2022-11-25,738484.0,99808.78769573574,99808.78769573574,0
2022-11-26,738485.0,99808.78769573574,99808.78769573574,0
2022-11-27,738486.0,99808.78769573574,99808.78769573574,0
2022-11-28,738487.0,99808.78769573574,99808.78769573574,0
2022-11-29,738488.0,99808.78769573574,99808.78769573574,0
2022-11-30,738489.0,99808.78769573574,99808.78769573574,0
2022-12-01,738490.0,99808.78769573574,99808.78769573574,0
2022-12-02,738491.0,99808.78769573574,99808.78769573574,0
2022-12-03,738492.0,99808.78769573574,99808.78769573574,0
2022-12-04,738493.0,99808.78769573574,99808.78769573574,0
2022-12-05,738494.0,99808.78769573574,99808.78769573574,0
2022-12-06,738495.0,99808.78769573574,99808.78769573574,0
2022-12-07,738496.0,99808.78769573574,99808.78769573574,0
2022-12-08,738497.0,99808.78769573574,99808.78769573574,0
2022-12-09,738498.0,99808.78769573574,99808.78769573574,0
2022-12-10,738499.0,99808.78769573574,99808.78769573574,0
2022-12-11,738500.0,99808.78769573574,99808.78769573574,0
2022-12-12,738501.0,99808.78769573574,99808.78769573574,0
2022-12-13,738502.0,99808.78769573574,99808.78769573574,0
2022-12-14,738503.0,99808.78769573574,99808.78769573574,0
2022-12-15,738504.0,99808.78769573574,99808.78769573574,0
2022-12-16,738505.0,99808.78769573574,99808.78769573574,0
2022-12-17,738506.0,99808.78769573574,99808.78769573574,0
2022-12-18,738507.0,99808.78769573574,99808.78769573574,0
2022-12-19,738508.0,99808.78769573574,99808.78769573574,0
2022-12-20,738509.0,99808.78769573574,99808.78769573574,0
2022-12-21,738510.0,99808.78769573574,99808.78769573574,0
2022-12-22,738511.0,99808.78769573574,99808.78769573574,0
2022-12-23,738512.0,99808.78769573574,99808.78769573574,0
2022-12-24,738513.0,99808.78769573574,99808.78769573574,0
2022-12-25,738514.0,99808.78769573574,99808.78769573574,0
2022-12-26,738515.0,99808.78769573574,99808.78769573574,0
2022-12-27,738516.0,99808.78769573574,99808.78769573574,0
2022-12-28,738517.0,99808.78769573574,99808.78769573574,0
2022-12-29,738518.0,99808.78769573574,99808.78769573574,0
2022-12-30,738519.0,99808.78769573574,99808.78769573574,0
2022-12-31,738520.0,99808.78769573574,99808.78769573574,0
2023-01-01,738521.0,99808.78769573574,99808.78769573574,0
2023-01-02,738522.0,99808.78769573574,99808.78769573574,0
2023-01-03,738523.0,99808.78769573574,99808.78769573574,0
2023-01-04,738524.0,99808.78769573574,99808.78769573574,0
2023-01-05,738525.0,99808.78769573574,99808.78769573574,0
2023-01-06,738526.0,99808.78769573574,99808.78769573574,0
2023-01-07,738527.0,99808.78769573574,99808.78769573574,0
2023-01-08,738528.0,99808.78769573574,99808.78769573574,0
2023-01-09,738529.0,99808.78769573574,99808.78769573574,0
2023-01-10,738530.0,99808.78769573574,99808.78769573574,0
2023-01-11,738531.0,99808.78769573574,99808.78769573574,0
2023-01-12,738532.0,99808.78769573574,99808.78769573574,0
2023-01-13,738533.0,99808.78769573574,99808.78769573574,0
2023-01-14,738534.0,99808.78769573574,99808.78769573574,0
2023-01-15,738535.0,99813.05885434398,93555.58657161982,6257.4722827241685
2023-01-16,738536.0,99911.48430016376,93555.58657161982,6355.897728543949
2023-01-17,738537.0,99865.65721912483,93555.58657161982,6310.070647505009
2023-01-18,738538.0,99647.44453948998,93555.58657161982,6091.857967870166
2023-01-19,738539.0,99807.2952021113,93555.58657161982,6251.708630491478
2023-01-20,738540.0,100240.29461424967,93555.58657161982,6684.708042629845
2023-01-21,738541.0,100156.18267378538,95238.96106146343,4917.221612321949
2023-01-22,738542.0,100158.54053151693,95238.96106146343,4919.579470053504
2023-01-23,738543.0,100155.06420281016,95238.96106146343,4916.103141346724
2023-01-24,738544.0,99942.4942596269,95238.96106146343,4703.533198163465
